subjects,price,rating,reviewCount,shortDescription,canWorkOnline,isVerified,location,education,experience,source
Математика; Английский язык; Итальянский язык; Испанский язык; Русский язык; Подготовка к школе; Начальная школа; Болгарский язык,7500,4.9,191,"Английский, французский, итальянский, испанский, португальский, немецкий,русский, болгарский, сербский, хорватский, словенский, македонский, подготовка к школе, начальные классы, математика(1-7кл.)             
Стоимость 7500 тенге в час, скидки  не предусмотрены. ",True,False,Алматы,Высший институт пищевкусовой промышленности (Болгария),более 10 лет,Buki
Математика; Шахматы,5000,4.9,129,"Оффлайн=7500/час, онлайн=5000тг/час.
10 лет опыта, доступно  и просто обучаю.
Работал в Стамбуле 8 месяцев как учитель математики  и тренер по шахматам.
Работаю  с выездом, люблю свой предмет.
Преподаю на русском и казахском языках. Бесплатного пробного урока нет. Для пробного урока можем использовать Гугл мит.
Скидок нет, вообще. ",True,False,Алматы,Европейская Школа Корреспондентского Обучения,более 5 лет,Buki
Казахский язык,3500,5.0,2,Мне 30 лет. Работала в школе и колледже. Подбираю индивидуальные методы для изучения казахского и русского языков. ,True,False,Тараз,Карагандинский государственный университет имени академика Е.А. Букетова,более 1 года,Buki
История Казахстана; География; История мира,5000,5.0,108,"Учитель по истории Казахстана,  
России,  всемирной  и Географии.

Готовлю к ЕНТ, ЕГЭ.

Непрерывный опыт преподавания, в том числе репетитором с 2010 года. 

Индивидуальный подход, гарантированный результат.

Пробное занятие бесплатное!

Скидка 10% на уроки в будние дни с 9.00 до 14.00!
 ",True,True,Павлодар,Павлодарский государственный педагогический институт,более 10 лет,Buki
Русский язык,2500,5.0,109,"Репетитор по русскому языку с опытом работы 20 лет, носитель языка, магистр в области русского языка и литературы. ",True,False,Шымкент,Ташкентский Государственный Педагогический Университет им. Низами ,более 20 лет,Buki
Физика,3500,0.0,0,"Преподаю физику школьникам 7-11 классов. Более 2 лет опыта. Объясняю теорию и показываю решение задач. Ученики приобретают самостоятельность, обучаясь через практику. Занятия проходят на русском языке. ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 3 лет,Buki
Математика; Физика; Английский язык; Черчение и проектирование; Подготовка к школе,7000,4.9,87,"Математика и физика для учеников средних школ. Объясняю просто и доступно,показываю область применения примеров и задач в реальной жизни и практике.Моя задача заинтересовать учеников и заложить основу самостоятельного мышления.Моя цель чтоб обучающиеся полюбили эти предметы! ",True,False,Алматы,Алматинский университет энергетики и связи,более 20 лет,Buki
Математика; Физика,4000,4.9,110,"Преподаю математику и физику в образовательном центре
Веду набор в группу по подготовке к сдачи ЕНТ по математике (занятия будут проходить по выходным, (недалеко от Керуена)).

На утреннее время скидка ",True,False,Астана (Нур-Султан),Евразийский национальный университет имени Л.Н. Гумилева,более 10 лет,Buki
Физика,3500,4.9,8,"Будущий специалист в области ядерной физики. Помогаю глубже понять физику, используя демонстрационные методы и практические примеры. ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 3 лет,Buki
Английский язык,4000,5.0,121,"Главной целью обучения иностранным языкам  является развитие коммуникативной компетенции, развитие личности, желающей  общение на иностранном языке и в дальнейшем способной к самосовершенствованию. Мотивация вызывает целенаправленность, определяет выбор средств, для достижения цели.  ",True,False,Шымкент,Пятигорский государственный лингвистический университет,более 20 лет,Buki
Математика,4500,5.0,95,"Преподаю математику 5-11кл на каз. и рус. яз. Стаж более 20 лет. 
В 1996 году окончила педагогический университет в г. Талдыкорган. ",True,False,Талдыкорган,Жетысуский государственный университет имени И. Жансугурова,более 10 лет,Buki
